饰品名称,Buff当前价格,Buff当前在售数量
P90（纪念品） | 设施系列·底片图 (久经沙场),15.4,77
P90（StatTrak™） | 死亡之握 (破损不堪),42.9,14
PP-野牛 | 古董枪 (略有磨损),17.28,43
P90 | 盲点 (略有磨损),37.09,48
P90 | 困兽之斗 (久经沙场),64.69,172
UMP-45 | 忘忧草 (久经沙场),193.5,22
MP9（StatTrak™） | 铁血玫瑰 (久经沙场),46.28,38
PP-野牛 | 古董枪 (久经沙场),16.59,28
PP-野牛（StatTrak™） | 透光区 (崭新出厂),25.19,50
P90 | 死亡之握 (崭新出厂),43.78,53
PP-野牛（StatTrak™） | 核燃料棒 (崭新出厂),45.3,75
MP9（StatTrak™） | 气密 (破损不堪),15.12,48
UMP-45（StatTrak™） | 野蛮剑齿虎 (崭新出厂),128.5,83
MP7 | 渐变之色 (久经沙场),35.4,59
P90 | 辐射警告 (略有磨损),65.4,17
MAC-10（StatTrak™） | 诅咒 (略有磨损),45.48,19
P90（StatTrak™） | 精英之作 (崭新出厂),39.9,93
MAC-10（纪念品） | 都市 DDPAT (崭新出厂),39.9,38
PP-野牛（StatTrak™） | 水纹之印 (崭新出厂),20.1,52
P90（纪念品） | 暴风呼啸 (崭新出厂),50.16,19
MP9（纪念品） | 落日 (久经沙场),34.68,230
MAC-10（纪念品） | 棕榈色 (略有磨损),11.58,102
MAC-10（纪念品） | 渐变琥珀 (久经沙场),39.9,176
MP9 | 暴风呼啸 (破损不堪),9.9,5
P90（纪念品） | 白蜡木 (崭新出厂),12.9,105
MP5-SD（纪念品） | 协处理器 (久经沙场),21.39,42
MAC-10 | 核子花园 (破损不堪),19.9,4
MP9 | 蛊惑之色 (略有磨损),48.86,16
P90 | 困兽之斗 (战痕累累),67.7,15
MP7（StatTrak™） | 死亡骷髅 (久经沙场),58.69,44
MAC-10（StatTrak™） | 霓虹骑士 (久经沙场),69.9,85
PP-野牛（StatTrak™） | 古董枪 (崭新出厂),59.69,39
P90（StatTrak™） | 牵引力 (崭新出厂),11.29,102
MP7（StatTrak™） | 七彩斑斓 (略有磨损),19.6,39
MP7 | 地下水 (崭新出厂),53.79,14
MAC-10 | 紫青之色 (崭新出厂),23.58,48
MP5-SD（StatTrak™） | 探员 (崭新出厂),49.4,52
MP7（StatTrak™） | 权力之心 (略有磨损),9.99,80
MP9（纪念品） | 黑暗时代 (略有磨损),46.6,128
PP-野牛（StatTrak™） | 水蓝条纹 (崭新出厂),135,6
MAC-10 | 致命紫罗兰 (崭新出厂),59.89,22
MP7（StatTrak™） | 速递 (破损不堪),13.7,5
UMP-45 | 紫青之色 (崭新出厂),23.45,63
P90 | 困兽之斗 (破损不堪),61.9,28
MAC-10（StatTrak™） | 孔雀石 (破损不堪),12.89,18
MP5-SD（StatTrak™） | 磷光体 (破损不堪),42.48,10
P90 | 巴洛克之红 (久经沙场),124,27
MAC-10（StatTrak™） | 烧尽 (崭新出厂),59.44,46
P90 | 日落百合 (战痕累累),43.1,8
P90（StatTrak™） | 精雕木刻 (破损不堪),19.8,30
P90（StatTrak™） | 精雕木刻 (战痕累累),24.05,33
MP9（纪念品） | 落日 (破损不堪),22,98
UMP-45（StatTrak™） | 野蛮剑齿虎 (战痕累累),15.39,28
MAC-10 | 不可磨灭 (战痕累累),118,13
MP7 | 海之泡沫 (略有磨损),14.19,19
MAC-10 | 渐变之色 (略有磨损),103.99,27
MP9 | 威吓者 (久经沙场),153.38,47
MP7（纪念品） | 渐变之色 (略有磨损),137.5,63
P90 | 暴风呼啸 (略有磨损),10.02,24
MAC-10 | 狂哮飓风 (略有磨损),10.9,16
MP7 | 青之绽放 (破损不堪),205.5,10
MP9 | 暴风呼啸 (崭新出厂),19.1,18
UMP-45（纪念品） | 辐射警告 (略有磨损),37.5,82
P90 | 日落百合 (破损不堪),36.78,18
MP7（纪念品） | 渐变之色 (久经沙场),107.5,19
UMP-45（纪念品） | 辐射警告 (战痕累累),12.7,26
MP7（StatTrak™） | 帝国 (久经沙场),16.9,24
PP-野牛（纪念品） | 化工之绿 (崭新出厂),48.78,50
P90（StatTrak™） | 三角 (破损不堪),69.8,6
UMP-45 | 犯罪现场 (战痕累累),141.5,31
MAC-10（StatTrak™） | 潜行者 (久经沙场),165,32
UMP-45 | 动量 (战痕累累),15.9,25
MAC-10（纪念品） | 核子花园 (崭新出厂),160.9,83
MP7（StatTrak™） | 复仇者 (久经沙场),49.07,40
MP7（StatTrak™） | 海之泡沫 (略有磨损),38.9,11
PP-野牛（StatTrak™） | 水纹之印 (久经沙场),16.6,24
P90（StatTrak™） | 二西莫夫 (破损不堪),77.9,27
UMP-45（纪念品） | 辐射警告 (久经沙场),14.67,155
MAC-10 | 渐变琥珀 (久经沙场),36.48,10
UMP-45（StatTrak™） | 合金绽放 (略有磨损),19.66,17
MP9（StatTrak™） | 蛊惑之色 (略有磨损),109.38,8
UMP-45 | 色如焦糖 (久经沙场),36.5,24
MP5-SD（纪念品） | 协处理器 (略有磨损),33.58,19
MP7 | 逮捕者 (崭新出厂),34.89,55
P90 | 往日行动 (战痕累累),14.78,32
P90 | 暴风呼啸 (崭新出厂),26.6,27
P90（纪念品） | 设施系列·底片图 (略有磨损),33.9,33
