饰品名称,Buff当前价格,Buff当前在售数量
P2000 | 黑曜石 (崭新出厂),14.7,88
格洛克 18 型（StatTrak™） | 荒野反叛 (战痕累累),93.45,33
格洛克 18 型（StatTrak™） | 蓝色裂纹 (战痕累累),10.5,42
沙漠之鹰（StatTrak™） | 轻轨 (久经沙场),13.1,608
双持贝瑞塔 | 血红蛋白 (崭新出厂),41.4,180
P250 | 葡萄酒 (破损不堪),22.9,26
USP 消音版（StatTrak™） | 力矩 (略有磨损),19.3,389
P250 | 葡萄酒 (破损不堪),22.9,26
USP 消音版（StatTrak™） | 力矩 (略有磨损),19.3,389
格洛克 18 型（StatTrak™） | 本生灯 (崭新出厂),18.46,182
格洛克 18 型 | 钢铁禁锢 (久经沙场),11.92,14
Tec-9 | 蓝钛 (崭新出厂),12.48,109
格洛克 18 型（纪念品） | 噩梦之夜 (破损不堪),10.44,117
P2000（StatTrak™） | 酸蚀 (崭新出厂),24.59,116
CZ75（StatTrak™） | 经济 (崭新出厂),34.78,120
FN57 | 童话城堡 (崭新出厂),67.99,264
R8 左轮手枪 | 渐变之色 (崭新出厂),56.5,393
R8 左轮手枪（StatTrak™） | 头骨粉碎者 (战痕累累),14.6,24
CZ75 | 黄夹克 (略有磨损),27.08,116
Tec-9（纪念品） | 核子剧毒 (久经沙场),27.5,273
P2000 | 火灵 (崭新出厂),63.4,139
CZ75（StatTrak™） | 毒镖 (崭新出厂),49.59,36
Tec-9 | 骨化之色 (略有磨损),10.63,12
CZ75（StatTrak™） | 相柳 (略有磨损),81.9,57
CZ75 | 维多利亚 (崭新出厂),38.8,138
P2000 | 珊瑚树 (久经沙场),20.24,36
USP 消音版（StatTrak™） | 脑洞大开 (破损不堪),30.02,156
USP 消音版（StatTrak™） | 脑洞大开 (破损不堪),30.02,156
双持贝瑞塔（纪念品） | 爆破能手 (久经沙场),31.9,42
USP 消音版（纪念品） | 宝蓝之色 (战痕累累),44.9,150
R8 左轮手枪（StatTrak™） | 头骨粉碎者 (久经沙场),18.09,110
P2000 | 豹纹迷彩 (崭新出厂),10.2,478
CZ75 | 翡翠色调 (崭新出厂),32.75,483
P250（纪念品） | 核子污染 (崭新出厂),32.9,143
USP 消音版 | 宝蓝之色 (久经沙场),51.94,212
USP 消音版（纪念品） | 宝蓝之色 (略有磨损),176.49,237
双持贝瑞塔（StatTrak™） | 黑榄仁木 (略有磨损),42.8,17
格洛克 18 型（StatTrak™） | 摩登时代 (战痕累累),35.9,65
P250（StatTrak™） | 二西莫夫 (破损不堪),48.15,41
P250（StatTrak™） | 生化短吻鳄 (破损不堪),63.98,27
P2000（StatTrak™） | 珊瑚树 (久经沙场),49.55,16
USP 消音版（纪念品） | 公路杀手 (战痕累累),122.3,86
双持贝瑞塔（StatTrak™） | 灾难 (略有磨损),10.3,105
Tec-9 | 艾萨克 (崭新出厂),26.4,179
USP 消音版 | 黑色魅影 (破损不堪),119,18
沙漠之鹰（StatTrak™） | 遗产 (战痕累累),47.08,30
CZ75 | 维多利亚 (略有磨损),27.57,125
CZ75 | 维多利亚 (略有磨损),27.57,125
沙漠之鹰（StatTrak™） | 蓝色层压板 (崭新出厂),26.47,216
USP 消音版 | 蓝图 (崭新出厂),103.4,387
P250 | 死亡轮回 (崭新出厂),31.49,287
CZ75（StatTrak™） | 螺形扭转 (崭新出厂),14.89,64
USP 消音版 | 公路杀手 (久经沙场),107,213
P250（StatTrak™） | 红巢 (久经沙场),15,14
Tec-9（纪念品） | 地下水 (久经沙场),21.4,57
Tec-9 | 钛片 (久经沙场),31.16,11
P250（StatTrak™） | 死亡轮回 (战痕累累),53,13
P2000（StatTrak™） | 珊瑚树 (略有磨损),54.4,37
Tec-9（纪念品） | 黄铜 (久经沙场),32.89,97
格洛克 18 型（纪念品） | 地下水 (战痕累累),11.7,122
沙漠之鹰（StatTrak™） | 遗产 (久经沙场),44.78,155
Tec-9（StatTrak™） | 燃料喷射器 (崭新出厂),115.5,113
格洛克 18 型 | 核子反应 (崭新出厂),37.6,216
沙漠之鹰 | 纳迦蛇神 (崭新出厂),22.47,177
P250 | 卡特尔 (略有磨损),21.27,118
双持贝瑞塔（StatTrak™） | 皇室伴侣 (崭新出厂),30.98,69
FN57 | 暴怒野兽 (战痕累累),71.86,8
FN57 | 暴怒野兽 (战痕累累),71.86,8
P250（StatTrak™） | 翼击 (略有磨损),25.18,118
