饰品名称,饰品价格,当前在售数量
加利尔 AR（StatTrak™） | 「经济」克鲁尔 (破损不堪),$4.27 USD,67
2015年 ESL One 卡托维兹锦标赛荒漠迷城纪念包,$22.61 USD,19
印花 | HellRaisers（全息）| 2015年卡托维兹锦标赛,$173.72 USD,19
MAC-10 | 核子花园 (战痕累累),$2.99 USD,19
CZ75 | 氮化处理 (破损不堪),$4.72 USD,19
M4A1 消音型 | 神来之作 (久经沙场),$34.41 USD,19
MP7（纪念品） | 陆军斥候 (破损不堪),$4.16 USD,19
USP 消音版 | 疯狂蔓延 (破损不堪),$23.02 USD,19
P250 | 曼海蒂 (破损不堪),$11.01 USD,19
MP7 | 橘皮涂装 (破损不堪),$3.56 USD,19
P250 | 狂野飞溅 (久经沙场),$12.24 USD,19
AWP（StatTrak™） | 暴怒野兽 (战痕累累),$47.66 USD,18
印花 | Ninjas in Pyjamas（闪亮）| 2016年科隆锦标赛,$25.53 USD,18
M4A1 消音型（纪念品） | 多变迷彩 (破损不堪),$12.99 USD,18
新星（StatTrak™） | 幽灵迷彩 (破损不堪),$3.94 USD,18
封装的涂鸦 | M4A4压枪 (暗紫),$0.69 USD,18
UMP-45 | 辐射警告 (战痕累累),$4.48 USD,18
格洛克 18 型（StatTrak™） | 荒野反叛 (破损不堪),$20.54 USD,18
P90（StatTrak™） | 往日行动 (略有磨损),$15.00 USD,18
P90 | 辐射警告 (破损不堪),$4.56 USD,18
折刀（★ StatTrak™） | 多普勒 (崭新出厂),$199.35 USD,18
截短霰弹枪（StatTrak™） | 路霸 (崭新出厂),$8.87 USD,18
暗影双匕（★） | 噩梦之夜 (战痕累累),$83.00 USD,18
印花 | pyth（闪亮）| 2016年 MLG 哥伦布锦标赛,$2.71 USD,18
M4A1 消音型 | 守护者 (战痕累累),$10.51 USD,18
格洛克 18 型（StatTrak™） | 摩登时代 (破损不堪),$11.01 USD,18
AUG（StatTrak™） | 孟加拉猛虎 (战痕累累),$9.16 USD,18
印花 | Lekr0 | 2017年亚特兰大锦标赛,$3.02 USD,18
FN57（StatTrak™） | 怒氓 (破损不堪),$11.29 USD,18
SG 553 | 致命紫罗兰 (崭新出厂),$35.57 USD,18
印花 | tarik（闪亮）| 2016年 MLG 哥伦布锦标赛,$8.31 USD,18
印花 | Counter Logic Gaming（闪亮）| 2016年 MLG 哥伦布锦标赛,$30.31 USD,18
封装的涂鸦 | P90压枪 (灰色),$0.71 USD,18
法玛斯（纪念品） | 冥界之憎 (略有磨损),$26.69 USD,18
印花 | buster（金色）| 2019年柏林锦标赛,$10.88 USD,18
MAG-7 | 银质 (略有磨损),$19.13 USD,18
印花 | DAVEY | 2016年 MLG 哥伦布锦标赛,$1.34 USD,18
印花 | wayLander（闪亮）| 2018年波士顿锦标赛,$3.35 USD,18
AUG（纪念品） | 雇佣兵 (战痕累累),$4.31 USD,18
Tec-9 | 上古图腾 (战痕累累),$15.29 USD,18
封装的涂鸦 | M4A1消音型压枪 (灰褐),$0.53 USD,18
M4A4（StatTrak™） | 战场之星 (崭新出厂),$62.36 USD,18
猎杀者匕首（★） | 噩梦之夜 (久经沙场),$125.87 USD,18
印花 | reltuC | 2015年克卢日-纳波卡锦标赛,$1.51 USD,18
SCAR-20（纪念品） | 沙漠网格 (崭新出厂),$5.20 USD,18
封装的涂鸦 | XM1014压枪 (血红),$0.61 USD,18
封装的涂鸦 | AWP压枪 (藕色),$3.00 USD,18
封装的涂鸦 | 法玛斯压枪 (酱紫),$0.62 USD,18
封装的涂鸦 | M4A4压枪 (草绿),$0.54 USD,18
封装的涂鸦 | MAC-10压枪 (酱紫),$0.55 USD,18
封装的涂鸦 | SG 553压枪 (丁香),$0.54 USD,18
封装的涂鸦 | P90压枪 (灰褐),$0.52 USD,18
封装的涂鸦 | AUG压枪 (暗紫),$0.57 USD,18
封装的涂鸦 | CZ75压枪 (纯紫),$0.52 USD,18
封装的涂鸦 | P90压枪 (暗绿),$0.60 USD,18
封装的涂鸦 | M4A1消音型压枪 (暗紫),$0.59 USD,18
封装的涂鸦 | XM1014压枪 (靛蓝),$0.54 USD,18
封装的涂鸦 | 加利尔AR压枪 (黛蓝),$0.53 USD,18
封装的涂鸦 | M4A1消音型压枪 (深绿),$1.28 USD,18
封装的涂鸦 | M4A1消音型压枪 (棕褐),$0.53 USD,18
封装的涂鸦 | MP7压枪 (灰褐),$0.52 USD,18
封装的涂鸦 | M4A1消音型压枪 (纯紫),$0.52 USD,18
封装的涂鸦 | UMP-45压枪 (灰色),$1.65 USD,18
封装的涂鸦 | MP9压枪 (军绿),$0.52 USD,18
封装的涂鸦 | M4A1消音型压枪 (血红),$0.57 USD,18
封装的涂鸦 | CZ75压枪 (暗绿),$0.50 USD,18
封装的涂鸦 | M4A4压枪 (群青),$0.51 USD,18
封装的涂鸦 | SG 553压枪 (纯紫),$0.52 USD,18
FN57（StatTrak™） | 童话城堡 (崭新出厂),$56.82 USD,18
格洛克 18 型（StatTrak™） | 黑色魅影 (破损不堪),$21.00 USD,18
封装的涂鸦 | P90压枪 (棕褐),$0.54 USD,18
封装的涂鸦 | SG 553压枪 (砖红),$0.75 USD,18
封装的涂鸦 | CZ75压枪 (群青),$0.57 USD,18
M4A1 消音型（StatTrak™） | 次时代 (战痕累累),$24.53 USD,18
MP9 | 威吓者 (久经沙场),$32.20 USD,18
P250（纪念品） | 交换机 (久经沙场),$1.98 USD,18
AK-47（纪念品） | 黑色层压板 (略有磨损),$35.59 USD,18
印花 | karrigan（金色）| 2019年柏林锦标赛,$31.25 USD,18
印花 | ableJ（金色）| 2019年柏林锦标赛,$11.10 USD,18
印花 | LETN1（金色）| 2019年柏林锦标赛,$11.23 USD,18
印花 | EliGE（金色）| 2019年柏林锦标赛,$33.60 USD,18
MP9（纪念品） | 沙漠虚线 (崭新出厂),$6.82 USD,18
折刀（★ StatTrak™） | 渐变大理石 (崭新出厂),$172.62 USD,18
印花 | kioShiMa（闪亮）| 2019年卡托维兹锦标赛,$2.45 USD,18
印花 | Kaze（闪亮）| 2019年卡托维兹锦标赛,$5.42 USD,18
印花 | jmqa（闪亮）| 2018年伦敦锦标赛,$0.70 USD,18
印花 | nex（闪亮）| 2018年伦敦锦标赛,$1.64 USD,18
印花 | crush（闪亮）| 2018年伦敦锦标赛,$1.77 USD,18
印花 | MIBR（闪亮）| 2018年伦敦锦标赛,$11.99 USD,18
鲍伊猎刀（★） | 渐变之色 (崭新出厂),$417.68 USD,18
印花 | nex（闪亮）| 2018年波士顿锦标赛,$3.17 USD,18
印花 | devoduvek（闪亮）| 2018年波士顿锦标赛,$2.37 USD,18
印花 | nitr0（闪亮）| 2018年波士顿锦标赛,$8.54 USD,18
印花 | mousesports（闪亮）| 2018年波士顿锦标赛,$24.92 USD,18
印花 | BnTeT | 2018年波士顿锦标赛,$8.44 USD,18
印花 | balblna | 2018年波士顿锦标赛,$0.96 USD,18
印花 | Xyp9x（闪亮）| 2018年波士顿锦标赛,$14.22 USD,18
印花 | dupreeh（闪亮）| 2018年波士顿锦标赛,$17.74 USD,18
印花 | loWel（闪亮）| 2017年克拉科夫锦标赛,$11.34 USD,18
印花 | Fnatic（闪亮）| 2017年克拉科夫锦标赛,$20.74 USD,18
印花 | FalleN（闪亮）| 2017年克拉科夫锦标赛,$22.67 USD,18
SSG 08 | 鬼脸天蛾 (战痕累累),$3.15 USD,18
印花 | AdreN | 2017年亚特兰大锦标赛,$4.52 USD,18
印花 | GeT_RiGhT（闪亮）| 2016年科隆锦标赛,$12.95 USD,18
印花 | hazed | 2016年科隆锦标赛,$4.00 USD,18
印花 | Zeus（闪亮）| 2016年科隆锦标赛,$11.84 USD,18
印花 | NiKo | 2016年科隆锦标赛,$14.99 USD,18
印花 | Happy | 2016年科隆锦标赛,$6.03 USD,18
印花 | WorldEdit | 2016年科隆锦标赛,$2.56 USD,18
穿肠刀（★） | 传说 (略有磨损),$201.74 USD,18
亲笔签名胶囊 | Natus Vincere | 2016年科隆锦标赛,$7.40 USD,18
亲笔签名胶囊 | Flipsid3 Tactics | 2016年科隆锦标赛,$8.89 USD,18
亲笔签名胶囊 | Counter Logic Gaming | 2016年科隆锦标赛,$6.84 USD,18
2016年 MLG 哥伦布锦标赛死亡游乐园纪念包,$52.00 USD,18
印花 | flamie（闪亮）| 2016年 MLG 哥伦布锦标赛,$8.86 USD,18
印花 | byali（闪亮）| 2016年 MLG 哥伦布锦标赛,$4.29 USD,18
印花 | arya（闪亮）| 2016年 MLG 哥伦布锦标赛,$4.00 USD,18
鲍伊猎刀（★） | 森林 DDPAT (久经沙场),$103.84 USD,18
印花 | 拆弹倒计时（闪亮）,$9.51 USD,18
印花 | Team Dignitas（闪亮）| 2015年卢日-纳波卡锦标赛,$80.63 USD,18
印花 | fox | 2015年卢日-纳波卡锦标赛,$3.07 USD,18
印花 | coldzera | 2015年卢日-纳波卡锦标赛,$5.56 USD,18
印花 | rallen（闪亮）| 2015年卢日-纳波卡锦标赛,$7.51 USD,18
印花 | dennis | 2015年卢日-纳波卡锦标赛,$1.61 USD,18
印花 | Cloud9（闪亮）| 2015年卢日-纳波卡锦标赛,$20.07 USD,18
亲笔签名胶囊 | Cloud9 | 2015年克卢日-纳波卡锦标赛,$6.74 USD,18
亲笔签名胶囊 | mousesports | 2015年克卢日-纳波卡锦标赛,$15.80 USD,18
印花 | allu（闪亮）| 2015年科隆锦标赛,$4.71 USD,18
印花 | shroud（闪亮）| 2015年科隆锦标赛,$37.51 USD,18
印花 | NBK-（闪亮）| 2015年科隆锦标赛,$7.56 USD,18
印花 | James（闪亮）| 2015年科隆锦标赛,$9.69 USD,18
印花 | Copenhagen Wolves | 2014年 DreamHack 锦标赛,$28.41 USD,18
SCAR-20（纪念品） | 雇佣兵 (破损不堪),$5.13 USD,18
2013年 DreamHack 纪念包,$230.00 USD,18
新星 | 现代猎手 (略有磨损),$14.20 USD,18
SG 553 | 狂哮飓风 (破损不堪),$7.50 USD,18
XM1014 | 火焰橙 (战痕累累),$6.10 USD,18
MAC-10 | 不可磨灭 (略有磨损),$23.73 USD,18
AK-47 | 水栽竹 (久经沙场),$824.73 USD,17
蝴蝶刀（★）,"$1,249.04 USD",17
2016年 MLG 哥伦布锦标赛死城之谜纪念包,$26.70 USD,17
印花 | flamie（金色）| 2019年卡托维兹锦标赛,$47.92 USD,17
FN57 | 暴怒野兽 (久经沙场),$20.54 USD,17
印花 | jkaem（闪亮）| 2016年 MLG 哥伦布锦标赛,$3.08 USD,17
印花 | Kjaerbye（闪亮）| 2018年波士顿锦标赛,$4.32 USD,17
印花 | flamie（金色）| 2019年卡托维兹锦标赛,$47.92 USD,17
FN57 | 暴怒野兽 (久经沙场),$20.54 USD,17
印花 | jkaem（闪亮）| 2016年 MLG 哥伦布锦标赛,$3.08 USD,17
印花 | Kjaerbye（闪亮）| 2018年波士顿锦标赛,$4.32 USD,17
印花 | JW（闪亮）| 2015年科隆锦标赛,$24.40 USD,17
印花 | aizy（闪亮）| 2018年波士顿锦标赛,$3.53 USD,17
SCAR-20（StatTrak™） | 血腥运动 (破损不堪),$4.56 USD,17
P250（StatTrak™） | 生化短吻鳄 (破损不堪),$11.66 USD,17
裹手（★） | 恶土 (久经沙场),$162.42 USD,17
PP-野牛（StatTrak™） | 阿努比斯之审判 (战痕累累),$11.64 USD,17
封装的涂鸦 | M4A4压枪 (黛蓝),$0.60 USD,17
印花 | Havoc | 2015年科隆锦标赛,$2.25 USD,17
运动手套（★） | 双栖 (久经沙场),$788.86 USD,17
新星（纪念品） | 捕食者 (崭新出厂),$4.76 USD,17
印花 | jdm64 | 2017年亚特兰大锦标赛,$2.25 USD,17
印花 | HellRaisers（闪亮）| 2018年伦敦锦标赛,$10.28 USD,17
CZ75 | 翡翠石英 (崭新出厂),$87.75 USD,17
印花 | OpTic Gaming（闪亮）| 2016年科隆锦标赛,$34.43 USD,17
印花 | jdm64（闪亮）| 2018年波士顿锦标赛,$7.50 USD,17
印花 | kioShiMa（闪亮）| 2015年卢日-纳波卡锦标赛,$6.63 USD,17
印花 | steel（闪亮）| 2015年卢日-纳波卡锦标赛,$5.57 USD,17
印花 | fer | 2015年科隆锦标赛,$3.99 USD,17
封装的涂鸦 | AK-47压枪 (灰褐),$1.38 USD,17
封装的涂鸦 | AWP压枪 (暗紫),$5.46 USD,17
爪子刀（★） | 伽玛多普勒 (崭新出厂),"$1,028.27 USD",17
封装的涂鸦 | P90压枪 (藕色),$0.54 USD,17
封装的涂鸦 | UMP-45压枪 (丁香),$2.02 USD,17
截短霰弹枪（纪念品） | 渐变琥珀 (破损不堪),$4.37 USD,17
MP7（纪念品） | 陆军斥候 (战痕累累),$2.50 USD,17
MP9（纪念品） | 橘皮涂装 (久经沙场),$9.45 USD,17
封装的涂鸦 | SG 553压枪 (群青),$0.60 USD,17
封装的涂鸦 | MP9压枪 (灰褐),$0.59 USD,17
封装的涂鸦 | M4A4压枪 (黄褐),$0.65 USD,17
封装的涂鸦 | 法玛斯压枪 (草绿),$0.70 USD,17
封装的涂鸦 | P90压枪 (群青),$0.54 USD,17
封装的涂鸦 | MP9压枪 (藕色),$0.50 USD,17
封装的涂鸦 | 加利尔AR压枪 (暗紫),$0.55 USD,17
封装的涂鸦 | MP9压枪 (靛蓝),$0.60 USD,17
封装的涂鸦 | M4A1消音型压枪 (群青),$1.38 USD,17
封装的涂鸦 | M4A1消音型压枪 (丁香),$0.75 USD,17
封装的涂鸦 | 加利尔AR压枪 (深绿),$0.61 USD,17
封装的涂鸦 | M4A1消音型压枪 (靛蓝),$0.53 USD,17
封装的涂鸦 | PP-野牛压枪 (灰褐),$0.69 USD,17
M4A1 消音型（StatTrak™） | 印花集 (战痕累累),$55.79 USD,17
SCAR-20 | 大宪章 (破损不堪),$5.80 USD,17
封装的涂鸦 | CZ75压枪 (砖红),$0.60 USD,17
封装的涂鸦 | 法玛斯压枪 (砖红),$0.55 USD,17
穿肠刀（★） | 枯焦之色 (久经沙场),$83.86 USD,17
MAG-7 | 危机色调 (破损不堪),$5.99 USD,17
系绳匕首（★） | 夜色 (久经沙场),$123.75 USD,17
AWP | 野火 (破损不堪),$49.08 USD,17
P250（纪念品） | 交换机 (破损不堪),$2.94 USD,17
印花 | t0rick（金色）| 2019年柏林锦标赛,$10.94 USD,17
印花 | Jame（金色）| 2019年柏林锦标赛,$45.00 USD,17
印花 | 鸡中刺客 (全息),$1.76 USD,17
印花 | qikert（金色）| 2019年卡托维兹锦标赛,$26.06 USD,17
印花 | Dima（闪亮）| 2019年卡托维兹锦标赛,$3.03 USD,17
印花 | NAF（闪亮）| 2018年伦敦锦标赛,$4.32 USD,17
熊刀（★） | 表面淬火 (破损不堪),$149.77 USD,17
专业手套（★） | 深红之网 (战痕累累),$172.61 USD,17
印花 | Attacker（闪亮）| 2018年波士顿锦标赛,$5.41 USD,17
印花 | Karsa | 2018年波士顿锦标赛,$1.56 USD,17
印花 | Flash Gaming（闪亮）| 2018年波士顿锦标赛,$40.25 USD,17
印花 | Vega Squadron（闪亮）| 2018年波士顿锦标赛,$12.32 USD,17
印花 | NBK-（闪亮）| 2018年波士顿锦标赛,$3.19 USD,17
印花 | Stewie2K（闪亮）| 2018年波士顿锦标赛,$16.24 USD,17
印花 | XANTARES | 2018年波士顿锦标赛,$5.94 USD,17
印花 | BIG（闪亮）| 2017年克拉科夫锦标赛,$18.52 USD,17
印花 | Virtus.Pro（闪亮）| 2017年克拉科夫锦标赛,$20.50 USD,17
印花 | Hobbit（闪亮）| 2017年克拉科夫锦标赛,$27.00 USD,17
印花 | markeloff（闪亮）| 2017年克拉科夫锦标赛,$12.45 USD,17
鲍伊猎刀（★） | 大马士革钢 (崭新出厂),$170.89 USD,17
P90（纪念品） | 辐射警告 (破损不堪),$3.50 USD,17
印花 | Magisk | 2017年亚特兰大锦标赛,$4.15 USD,17
印花 | denis | 2017年亚特兰大锦标赛,$2.00 USD,17
专业手套（★） | 元勋 (久经沙场),$309.36 USD,17
2016年科隆锦标赛死亡游乐园纪念包,$61.88 USD,17
印花 | TaZ（闪亮）| 2016年科隆锦标赛,$5.17 USD,17
印花 | kioShiMa | 2016年科隆锦标赛,$2.89 USD,17
印花 | NEO（闪亮）| 2016年科隆锦标赛,$14.22 USD,17
印花 | hooch（闪亮）| 2016年科隆锦标赛,$8.51 USD,17
印花 | karrigan | 2016年科隆锦标赛,$2.96 USD,17
印花 | aizy（闪亮）| 2016年 MLG 哥伦布锦标赛,$2.38 USD,17
印花 | Edward（闪亮）| 2016年 MLG 哥伦布锦标赛,$4.25 USD,17
印花 | f0rest（闪亮）| 2016年 MLG 哥伦布锦标赛,$9.60 USD,17
印花 | GuardiaN（闪亮）| 2016年 MLG 哥伦布锦标赛,$10.98 USD,17
印花 | markeloff | 2016年 MLG 哥伦布锦标赛,$2.61 USD,17
印花 | Ex6TenZ（闪亮）| 2016年 MLG 哥伦布锦标赛,$5.25 USD,17
印花 | Stewie2K | 2016年 MLG 哥伦布锦标赛,$9.54 USD,17
印花 | “炸”鸡（闪亮）,$3.79 USD,17
印花 | chrisJ | 2015年卢日-纳波卡锦标赛,$2.84 USD,17
印花 | Maikelele | 2015年卢日-纳波卡锦标赛,$1.81 USD,17
印花 | friberg（闪亮）| 2015年卢日-纳波卡锦标赛,$4.98 USD,17
印花 | Vexed Gaming（闪亮）| 2015年卢日-纳波卡锦标赛,$19.61 USD,17
印花 | nitr0 | 2015年卢日-纳波卡锦标赛,$1.40 USD,17
G3SG1（StatTrak™） | 弗卢克斯 (战痕累累),$11.58 USD,17
印花 | jks（闪亮）| 2015年科隆锦标赛,$11.51 USD,17
印花 | Havoc（闪亮）| 2015年科隆锦标赛,$4.94 USD,17
Tec-9 | 梗怖分子 (久经沙场),$83.08 USD,17
AUG（StatTrak™） | 孟加拉猛虎 (破损不堪),$10.83 USD,17
PP-野牛（纪念品） | 午夜行动 (久经沙场),$10.81 USD,17
双持贝瑞塔（纪念品） | 雇佣兵 (破损不堪),$6.92 USD,17
AUG（纪念品） | 雇佣兵 (略有磨损),$8.51 USD,17
P250（StatTrak™） | 曼海蒂 (破损不堪),$24.32 USD,17
FN57（StatTrak™） | 夜影 (战痕累累),$3.33 USD,17
新星 | 惊惧骷髅 (战痕累累),$4.46 USD,17
SG 553 | 鳄鱼网格 (战痕累累),$3.28 USD,17
新星 | 胡桃木 (崭新出厂),$7.50 USD,17
MAC-10 | 狂哮飓风 (崭新出厂),$12.45 USD,17
P250 | 多面体 (崭新出厂),$38.67 USD,17
Tec-9 | 狂哮飓风 (战痕累累),$1.56 USD,17
格洛克 18 型 | 沙丘之黄 (破损不堪),$2.39 USD,17
FN57 | 红苹果 (略有磨损),$78.01 USD,17
AK-47（StatTrak™） | 表面淬火 (久经沙场),$301.13 USD,16
封装的涂鸦 | UMP-45压枪 (草绿),$3.08 USD,16
AUG（纪念品） | 殖民侵略者 (崭新出厂),$11.29 USD,16
印花 | Counter Logic Gaming（闪亮）| 2015年克卢日-纳波卡锦标赛,$20.65 USD,16
UMP-45（StatTrak™） | 动量 (破损不堪),$6.18 USD,16
印花 | facecrack（金色）| 2019年柏林锦标赛,$10.88 USD,16
鲍伊猎刀（★） | 致命紫罗兰 (略有磨损),$173.24 USD,16
AWP | 鬼退治 (崭新出厂),$437.42 USD,16
流浪者匕首（★） | 渐变之色 (崭新出厂),$456.66 USD,16
驾驶手套（★） | 墨绿色调 (略有磨损),$91.70 USD,16
封装的涂鸦 | AK-47压枪 (血红),$1.39 USD,16
SSG 08 | 巨铁 (破损不堪),$6.26 USD,16
印花 | SPUNJ | 2015年科隆锦标赛,$4.72 USD,16
PP-野牛 | 外表生锈 (战痕累累),$11.42 USD,16
USP 消音版（StatTrak™） | 黑色魅影 (略有磨损),$100.92 USD,16
短剑（★） | 蓝钢 (久经沙场),$117.36 USD,16
印花 | MICHU（闪亮）| 2018年伦敦锦标赛,$3.37 USD,16
印花 | Vox Eminor（全息）| 2014年科隆锦标赛,$222.94 USD,16
狂牙手套（★） | 精神错乱 (战痕累累),$96.51 USD,16
暗影双匕（★） | 表面淬火 (久经沙场),$119.21 USD,16
MP5-SD（纪念品） | 协处理器 (崭新出厂),$16.84 USD,16
印花 | Edward（闪亮）| 2015年科隆锦标赛,$5.89 USD,16
FN57 | 狂野丛林 (崭新出厂),$6.78 USD,16
封装的涂鸦 | PP-野牛压枪 (灰色),$1.63 USD,16
封装的涂鸦 | AWP压枪 (灰褐),$3.76 USD,16
封装的涂鸦 | AUG压枪 (灰褐),$0.89 USD,16
印花 | mir（闪亮）| 2018年波士顿锦标赛,$3.41 USD,16
弯刀（★） | 人工染色 (久经沙场),$96.63 USD,16
折刀（★） | 致命紫罗兰 (战痕累累),$74.60 USD,16
印花 | “炸”鸡（闪亮）,$4.75 USD,16
印花 | boltz | 2015年科隆锦标赛,$3.95 USD,16
印花 | DEVIL（闪亮）| 2016年 MLG 哥伦布锦标赛,$5.23 USD,16
AUG（纪念品） | 暴风呼啸 (破损不堪),$6.95 USD,16
印花 | tarik（闪亮）| 2015年克卢日-纳波卡锦标赛,$17.80 USD,16
封装的涂鸦 | AK-47压枪 (酱紫),$1.17 USD,16
封装的涂鸦 | SG 553压枪 (豆青),$0.62 USD,16
封装的涂鸦 | CZ75压枪 (藕色),$0.59 USD,16
封装的涂鸦 | UMP-45压枪 (群青),$1.50 USD,16
封装的涂鸦 | M4A1消音型压枪 (黛蓝),$0.58 USD,16
封装的涂鸦 | P90压枪 (黄褐),$0.60 USD,16
封装的涂鸦 | 法玛斯压枪 (灰色),$0.76 USD,16
封装的涂鸦 | M4A4压枪 (靛蓝),$2.04 USD,16
封装的涂鸦 | SG 553压枪 (酱紫),$1.17 USD,16
封装的涂鸦 | 法玛斯压枪 (军绿),$0.54 USD,16
封装的涂鸦 | PP-野牛压枪 (豆青),$0.88 USD,16
封装的涂鸦 | SG 553压枪 (军绿),$0.48 USD,16
封装的涂鸦 | 法玛斯压枪 (棕褐),$0.60 USD,16
封装的涂鸦 | M4A1消音型压枪 (酱紫),$0.82 USD,16
封装的涂鸦 | MP9压枪 (纯紫),$0.53 USD,16
封装的涂鸦 | UMP-45压枪 (血红),$3.11 USD,16
封装的涂鸦 | M4A4压枪 (深绿),$0.82 USD,16
沙漠之鹰 | 午夜凶匪 (破损不堪),$15.75 USD,16
封装的涂鸦 | 加利尔AR压枪 (酱紫),$0.69 USD,16
封装的涂鸦 | XM1014压枪 (草绿),$0.54 USD,16
封装的涂鸦 | AWP压枪 (草绿),$5.35 USD,16
封装的涂鸦 | 加利尔AR压枪 (血红),$0.75 USD,16
弯刀（★） | 大马士革钢 (略有磨损),$135.29 USD,16
SG 553（StatTrak™） | 四号栖息地 (战痕累累),$6.85 USD,16
AUG | 午夜百合 (久经沙场),$177.99 USD,16
Tec-9（纪念品） | 多变迷彩 (破损不堪),$1.78 USD,16
USP 消音版（纪念品） | 引擎故障灯 (崭新出厂),$37.05 USD,16
印花 | gade（金色）| 2019年柏林锦标赛,$11.19 USD,16
印花 | jkaem（金色）| 2019年柏林锦标赛,$10.78 USD,16
印花 | NEO（金色）| 2019年柏林锦标赛,$21.17 USD,16
FN57（纪念品） | 暮色森林 (崭新出厂),$9.20 USD,16
法玛斯（StatTrak™） | 元素轮廓 (破损不堪),$5.26 USD,16
UMP-45（StatTrak™） | 动量 (战痕累累),$5.77 USD,15
印花 | EliGE（闪亮）| 2018年伦敦锦标赛,$4.37 USD,16
印花 | G2 Esports（闪亮）| 2018年伦敦锦标赛,$16.60 USD,16
印花 | ropz（闪亮）| 2018年伦敦锦标赛,$8.00 USD,16
熊刀（★） | 表面淬火 (久经沙场),$160.10 USD,16
沙漠之鹰（StatTrak™） | 红色代号 (久经沙场),$71.59 USD,16
法玛斯（StatTrak™） | 雅典娜之眼 (略有磨损),$16.57 USD,16
印花 | Space Soldiers（闪亮）| 2018年波士顿锦标赛,$24.10 USD,16
印花 | Fnatic（闪亮）| 2018年波士顿锦标赛,$40.94 USD,16
印花 | autimatic（闪亮）| 2018年波士顿锦标赛,$6.99 USD,16
印花 | oskar（闪亮）| 2018年波士顿锦标赛,$3.00 USD,16
印花 | mou（闪亮）| 2018年波士顿锦标赛,$3.27 USD,16
印花 | RpK（闪亮）| 2018年波士顿锦标赛,$6.00 USD,16
印花 | buster（闪亮）| 2018年波士顿锦标赛,$2.76 USD,16
印花 | kennyS（闪亮）| 2018年波士顿锦标赛,$68.73 USD,16
印花 | Happy | 2018年波士顿锦标赛,$4.64 USD,16
印花 | felps（闪亮）| 2018年波士顿锦标赛,$2.50 USD,16
M4A4 | 破晓 (略有磨损),$237.89 USD,16
印花 | bodyy（闪亮）| 2017年克拉科夫锦标赛,$13.65 USD,16
印花 | Skadoodle（闪亮）| 2017年克拉科夫锦标赛,$23.46 USD,16
印花 | apEX（闪亮）| 2017年克拉科夫锦标赛,$14.22 USD,16
印花 | jkaem | 2016年科隆锦标赛,$2.48 USD,16
印花 | wayLander | 2016年科隆锦标赛,$2.53 USD,16
印花 | JW（闪亮）| 2016年 MLG 哥伦布锦标赛,$15.00 USD,16
印花 | KRIMZ（闪亮）| 2016年 MLG 哥伦布锦标赛,$4.83 USD,16
印花 | ScreaM | 2016年 MLG 哥伦布锦标赛,$16.74 USD,16
印花 | Happy | 2016年 MLG 哥伦布锦标赛,$2.38 USD,16
R8 左轮手枪（StatTrak™） | 渐变之色 (崭新出厂),$57.22 USD,16
印花 | FalleN | 2015年卢日-纳波卡锦标赛,$7.05 USD,16
印花 | peet（闪亮）| 2015年卢日-纳波卡锦标赛,$5.49 USD,16
印花 | shroud（闪亮）| 2015年克卢日-纳波卡锦标赛,$118.00 USD,16
印花 | TaZ（闪亮）| 2015年克卢日-纳波卡锦标赛,$5.01 USD,16
印花 | f0rest（闪亮）| 2015年卢日-纳波卡锦标赛,$17.74 USD,16
FN57（纪念品） | 雇佣兵 (崭新出厂),$7.88 USD,16
印花 | flusha（闪亮）| 2015年科隆锦标赛,$6.82 USD,16
印花 | denis | 2015年科隆锦标赛,$1.64 USD,16
P250 | 日式深红涂装 (战痕累累),$12.57 USD,16
2015年 ESL One 卡托维兹锦标赛炼狱小镇纪念包,$19.36 USD,16
印花 | TSM Kinguin（全息）| 2015年卡托维兹锦标赛,$97.49 USD,16
折叠刀（★） | 渐变大理石 (崭新出厂),$391.15 USD,16
MAC-10 | 致命紫罗兰 (崭新出厂),$13.28 USD,16
M4A4（StatTrak™） | 沙漠精英 (战痕累累),$15.43 USD,16
PP-野牛（纪念品） | 沙漠虚线 (破损不堪),$4.72 USD,16
SSG 08（纪念品） | 蓝色云杉 (破损不堪),$4.20 USD,16
新星（纪念品） | 沙丘之黄 (破损不堪),$3.27 USD,16
P90 | 沙漠战争 (战痕累累),$4.22 USD,16
UMP-45 | 炽烈之炎 (略有磨损),$31.79 USD,16
双持贝瑞塔（StatTrak™） | 黑榄仁木 (战痕累累),$5.91 USD,16
印花 | NEO（闪亮）| 2017年克拉科夫锦标赛,$13.87 USD,15
MP9（纪念品） | 暴风呼啸 (崭新出厂),$7.06 USD,15
印花 | KRIMZ（闪亮）| 2016年科隆锦标赛,$6.84 USD,15
封装的涂鸦 | AWP压枪 (纯紫),$5.35 USD,15
印花 | DAVEY（闪亮）| 2016年 MLG 哥伦布锦标赛,$7.82 USD,15
MAC-10 | 绯红镂刻 (崭新出厂),$129.16 USD,15
P250（StatTrak™） | 生化短吻鳄 (崭新出厂),$49.94 USD,15
XM1014（StatTrak™） | 要抱抱 (战痕累累),$5.71 USD,15
印花 | JW | 2017年亚特兰大锦标赛,$3.40 USD,15
印花 | Summer | 2018年波士顿锦标赛,$5.88 USD,15
AK-47（StatTrak™） | 红线 (略有磨损),$199.76 USD,15
