饰品名称,饰品价格,当前在售数量,Buff当前价格,Buff当前在售数量,steam当前可获得收益,倒卖比,buff库存,steam库存,buff价格,steam价格,倒卖赚
加利尔 AR（StatTrak™） | 「经济」克鲁尔 (破损不堪),4.27,67.0,19.79,89.0,23.202304649999995,0.8529325124605673,67.0,89.0,19.79,27.296828999999995,0.6826217499999956
AUG | 孟加拉猛虎 (略有磨损),9.96,66.0,42.39,135.0,54.120598199999996,0.783250766064149,66.0,135.0,42.39,63.671292,5.363469000000002
新星 | 樱花之绚烂 (略有磨损),10.28,36.0,48.7,82.0,55.85941259999999,0.8718315809858697,36.0,82.0,48.7,65.716956,0.5877169999999978
新星 | 樱花之绚烂 (略有磨损),10.26,35.0,48.7,82.0,55.7507367,0.873531057751924,35.0,82.0,48.7,65.589102,0.49182649999999484
新星 | 樱花之绚烂 (略有磨损),10.26,36.0,48.7,82.0,55.7507367,0.873531057751924,36.0,82.0,48.7,65.589102,0.49182649999999484
P2000（StatTrak™） | 珊瑚树 (略有磨损),13.15,22.0,54.4,37.0,71.45440425,0.7613246597042337,22.0,37.0,54.4,84.064005,8.648003749999994
P2000（StatTrak™） | 珊瑚树 (略有磨损),13.15,22.0,54.4,37.0,71.45440425,0.7613246597042337,22.0,37.0,54.4,84.064005,8.648003749999994
P2000（StatTrak™） | 珊瑚树 (久经沙场),8.37,18.0,49.55,16.0,45.48086414999999,1.0894691850308655,18.0,16.0,49.55,53.50689899999999,-9.419825750000001
P2000（StatTrak™） | 珊瑚树 (久经沙场),8.37,18.0,49.55,16.0,45.48086414999999,1.0894691850308655,18.0,16.0,49.55,53.50689899999999,-9.419825750000001
沙漠之鹰（StatTrak™） | 深红之网 (战痕累累),12.37,28.0,57.48,74.0,67.21604414999999,0.8551529731759736,28.0,74.0,57.48,79.077699,1.8282742499999998
沙漠之鹰（StatTrak™） | 深红之网 (战痕累累),12.37,28.0,57.48,74.0,67.21604414999999,0.8551529731759736,28.0,74.0,57.48,79.077699,1.8282742499999998
沙漠之鹰（StatTrak™） | 深红之网 (战痕累累),12.37,28.0,57.48,74.0,67.21604414999999,0.8551529731759736,28.0,74.0,57.48,79.077699,1.8282742499999998
AUG（StatTrak™） | 孟加拉猛虎 (略有磨损),35.27,8.0,145.4,28.0,191.64994965,0.7586748666803003,8.0,28.0,145.4,225.470529,23.702896750000008
AUG（StatTrak™） | 孟加拉猛虎 (略有磨损),35.27,7.0,145.4,28.0,191.64994965,0.7586748666803003,7.0,28.0,145.4,225.470529,23.702896750000008
PP-野牛（StatTrak™） | 水蓝条纹 (破损不堪),1.74,23.0,11.14,8.0,9.4548033,1.1782370977511505,23.0,8.0,11.14,11.123298,-2.7975265
PP-野牛（StatTrak™） | 水蓝条纹 (破损不堪),1.74,22.0,11.14,8.0,9.4548033,1.1782370977511505,22.0,8.0,11.14,11.123298,-2.7975265
PP-野牛 | 水蓝条纹 (崭新出厂),6.09,14.0,26.74,43.0,33.091811549999996,0.8080548857108429,14.0,43.0,26.74,38.931543,2.458657249999998
PP-野牛 | 水蓝条纹 (崭新出厂),6.09,14.0,26.74,43.0,33.091811549999996,0.8080548857108429,14.0,43.0,26.74,38.931543,2.458657249999998
PP-野牛 | 水蓝条纹 (崭新出厂),6.09,14.0,26.74,43.0,33.091811549999996,0.8080548857108429,14.0,43.0,26.74,38.931543,2.458657249999998
P90（StatTrak™） | 病毒危机 (略有磨损),3.0,39.0,15.7,42.0,16.301385,0.963108349382583,39.0,42.0,15.7,19.1781,-1.3164249999999988
格洛克 18 型（StatTrak™） | 钢铁禁锢 (久经沙场),4.97,26.0,22.4,24.0,27.005961149999997,0.8294465016661702,26.0,24.0,22.4,31.771718999999997,1.4287892500000012
格洛克 18 型（StatTrak™） | 钢铁禁锢 (久经沙场),4.97,26.0,22.4,24.0,27.005961149999997,0.8294465016661702,26.0,24.0,22.4,31.771718999999997,1.4287892500000012
P2000 | 珊瑚树 (崭新出厂),12.92,18.0,56.4,50.0,70.2046314,0.8033658018750028,18.0,50.0,56.4,82.593684,5.5452629999999985
P2000 | 珊瑚树 (崭新出厂),12.92,18.0,56.4,50.0,70.2046314,0.8033658018750028,18.0,50.0,56.4,82.593684,5.5452629999999985
